PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
203932,Aaron Gordon,Aaron,1610612743,DEN,27.0,15,12,3,0.8,35.6,4.8,9.8,0.49,0.9,2.5,0.351,2.5,3.6,0.704,2.7,2.9,5.5,2.5,1.1,0.5,0.7,1.1,2.9,2.8,13.0,8.4,25.6,1,0,24.1,20,1,137,12,39,55,57,68,103,106,76,39,36,112,15,82,48,58,67,109,38,23,30,42,54,4,58,33,5,58
1628988,Aaron Holiday,Aaron,1610612737,ATL,26.0,1,1,0,1.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.5,0,0,1.0,202,132,206,1,177,189,208,189,153,182,153,162,164,162,165,198,201,107,71,159,145,135,188,182,194,149,205,58,5,197
201143,Al Horford,Al,1610612738,BOS,36.0,18,10,8,0.556,30.6,2.6,6.6,0.39,1.4,4.8,0.299,0.2,0.2,0.75,1.6,5.6,7.1,3.1,0.6,1.2,1.8,0.1,2.2,0.4,6.7,4.2,28.1,1,0,24.2,1,17,1,54,56,102,94,144,66,51,110,155,160,95,38,26,29,45,123,30,6,134,74,149,105,13,50,33,5,56
203458,Alex Len,Alex,1610612758,SAC,29.0,7,3,4,0.429,7.8,1.0,1.3,0.778,0.0,0.0,0.0,0.7,0.9,0.833,1.0,1.9,2.9,0.1,1.0,0.0,0.4,0.1,2.1,0.9,2.7,3.4,6.6,0,0,6.6,79,87,53,109,155,146,174,7,153,182,153,106,115,67,64,114,107,181,71,159,64,122,77,118,150,25,142,58,5,140
1629599,Amir Coffey,Amir,1610612746,LAC,25.0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0,0,0.0,202,188,183,188,214,189,208,189,153,182,153,162,164,162,165,198,201,184,182,159,145,135,188,182,194,130,210,58,5,210
203952,Andrew Wiggins,Andrew,1610612744,GSW,28.0,13,6,7,0.462,34.0,6.4,13.9,0.459,1.5,4.9,0.297,2.5,3.6,0.681,1.8,3.8,5.6,1.9,1.3,0.8,1.2,0.8,3.5,3.2,16.7,3.1,31.0,0,0,29.7,32,43,15,101,46,38,36,91,65,48,111,40,35,116,25,60,47,73,57,51,17,44,8,37,39,29,40,58,5,46
203076,Anthony Davis,Anthony,1610612747,LAL,30.0,16,8,8,0.5,38.0,8.3,15.9,0.52,0.3,0.9,0.333,5.8,6.8,0.852,2.4,11.7,14.1,2.6,2.1,1.4,3.1,1.0,2.9,5.3,22.6,3.4,54.7,13,0,48.5,8,25,1,74,23,20,29,51,129,147,83,8,10,60,19,1,1,55,35,20,1,25,32,11,24,26,5,1,5,10
1630162,Anthony Edwards,Anthony,1610612750,MIN,21.0,5,1,4,0.2,39.7,11.0,22.8,0.482,3.0,8.6,0.349,6.6,7.8,0.846,0.6,4.4,5.0,5.2,1.6,1.8,2.0,0.6,2.6,5.0,31.6,-3.0,55.2,0,0,52.4,116,132,53,157,7,5,4,71,5,6,78,5,6,62,102,44,56,26,48,8,3,54,43,14,3,149,3,58,5,4
1630237,Anthony Lamb,Anthony,1610612744,GSW,25.0,6,3,3,0.5,5.2,0.3,0.8,0.4,0.2,0.7,0.25,0.0,0.0,0.0,0.2,0.8,1.0,0.0,0.3,0.2,0.2,0.0,0.5,0.0,0.8,-0.7,2.7,0,0,2.7,94,87,137,74,169,180,193,133,140,155,126,162,164,162,159,162,156,184,147,148,130,135,168,182,181,98,181,58,5,179
1630559,Austin Reaves,Austin,1610612747,LAL,24.0,16,8,8,0.5,36.2,5.6,12.1,0.464,2.4,5.5,0.443,3.2,3.6,0.895,1.3,3.2,4.4,4.6,1.6,0.6,0.2,0.8,2.4,3.3,16.9,4.6,29.9,0,0,29.9,8,25,1,74,35,43,48,85,26,39,30,33,38,39,49,69,69,30,51,77,125,37,57,36,38,12,45,58,5,43
